DepAirportCode,DepSchedDate,DepSchedTime,DepActualDate,DepActualTime,DepStatusCode,DepStatusDesc,ArrivalAirportCode,ArrSchedDate,ArrSchedTime,ArrActualDate,ArrActualTime,ArrStatusCode,ArrStatusDesc,OpAirlineID,OpFlightNumber,AircraftCode,MarkAirlineID,MarkFlightNumber
LAX,2023-07-06,17:10,2023-07-06,17:10,OT,Flight On Time,MUC,2023-07-07,13:15,2023-07-07,13:15,OT,Flight On Time,LH,453,359,,
FRA,2023-07-06,10:25,2023-07-06,11:11,DP,Flight Departed,SFO,2023-07-06,12:40,2023-07-06,13:03,LD,Flight Landed,LH,454,74H,,
SFO,2023-07-06,14:40,2023-07-06,15:15,DP,Flight Departed,FRA,2023-07-07,10:25,2023-07-07,10:32,OT,Flight On Time,LH,455,74H,,
MUC,2023-07-06,16:20,2023-07-06,16:23,DP,Flight Departed,SFO,2023-07-06,19:00,2023-07-06,18:27,FE,Flight Early,LH,458,359,,
SFO,2023-07-06,21:10,2023-07-06,21:10,OT,Flight On Time,MUC,2023-07-07,17:05,2023-07-07,17:05,OT,Flight On Time,LH,459,359,,
FRA,2023-07-06,10:50,2023-07-06,11:12,DP,Flight Departed,MIA,2023-07-06,14:40,2023-07-06,15:03,LD,Flight Landed,LH,462,74H,,
MIA,2023-07-06,16:45,2023-07-06,17:08,DP,Flight Departed,FRA,2023-07-07,07:50,2023-07-07,07:54,OT,Flight On Time,LH,463,74H,,
MUC,2023-07-06,12:35,2023-07-06,12:50,DP,Flight Departed,SAN,2023-07-06,15:25,2023-07-06,15:40,LD,Flight Landed,LH,466,359,UA,8918
SAN,2023-07-06,17:15,2023-07-06,17:15,OT,Flight On Time,MUC,2023-07-07,13:20,2023-07-07,13:20,OT,Flight On Time,LH,467,359,UA,8932
FRA,2023-07-06,13:55,2023-07-06,14:53,DP,Flight Departed,YYZ,2023-07-06,16:20,2023-07-06,16:54,LD,Flight Landed,LH,470,744,AC,9105
YYZ,2023-07-06,18:20,2023-07-06,18:57,DP,Flight Departed,FRA,2023-07-07,07:50,2023-07-07,08:17,DL,Flight Delayed,LH,471,744,AC,9104
MUC,2023-07-06,16:50,2023-07-06,17:09,DP,Flight Departed,YUL,2023-07-06,19:00,2023-07-06,18:51,LD,Flight Landed,LH,474,35S,AC,9099
YUL,2023-07-06,20:50,2023-07-06,20:50,OT,Flight On Time,MUC,2023-07-07,10:10,2023-07-07,10:10,OT,Flight On Time,LH,475,35S,AC,9098
MUC,2023-07-06,15:30,2023-07-06,15:54,DP,Flight Departed,YVR,2023-07-06,16:45,2023-07-06,16:28,FE,Flight Early,LH,476,35S,AC,9433
YVR,2023-07-06,18:25,2023-07-06,18:25,OT,Flight On Time,MUC,2023-07-07,13:10,2023-07-07,13:10,OT,Flight On Time,LH,477,35S,AC,9432
FRA,2023-07-06,14:20,2023-07-06,15:11,DP,Flight Departed,YUL,2023-07-06,16:05,2023-07-06,17:29,LD,Flight Landed,LH,478,78S,AC,9633
YUL,2023-07-06,18:05,,,DL,Flight Delayed,FRA,2023-07-07,07:05,2023-07-07,08:06,DL,Flight Delayed,LH,479,78S,AC,9634
MUC,2023-07-06,11:55,2023-07-06,12:13,DP,Flight Departed,DEN,2023-07-06,14:25,2023-07-06,14:31,LD,Flight Landed,LH,480,359,UA,9459
DEN,2023-07-06,16:10,2023-07-06,16:09,DP,Flight Departed,MUC,2023-07-07,09:50,2023-07-07,09:39,OT,Flight On Time,LH,481,359,UA,9458
