DepAirportCode,DepSchedDate,DepSchedTime,DepActualDate,DepActualTime,DepStatusCode,DepStatusDesc,ArrivalAirportCode,ArrSchedDate,ArrSchedTime,ArrActualDate,ArrActualTime,ArrStatusCode,ArrStatusDesc,OpAirlineID,OpFlightNumber,AircraftCode,MarkAirlineID,MarkFlightNumber
MUC,2023-07-18,19:45,,20:22,DP,Flight Departed,TLV,2023-07-19,00:25,2023-07-19,00:50,LD,Flight Landed,LH,684,32M,,
TLV,2023-07-18,07:00,,07:03,DP,Flight Departed,MUC,2023-07-18,10:00,2023-07-18,10:07,LD,Flight Landed,LH,683,32M,,
TLV,2023-07-18,17:10,,17:43,DP,Flight Departed,MUC,2023-07-18,20:10,2023-07-18,20:51,LD,Flight Landed,LH,681,32Q,,
TLV,2023-07-18,06:15,,06:49,DP,Flight Departed,VIE,2023-07-18,09:00,2023-07-18,09:17,LD,Flight Landed,OS,860,321,,
TLV,2023-07-18,15:20,,15:24,DP,Flight Departed,VIE,2023-07-18,18:05,2023-07-18,18:04,LD,Flight Landed,OS,858,321,,
VIE,2023-07-18,06:30,,06:31,DP,Flight Departed,MUC,2023-07-18,07:30,2023-07-18,07:32,LD,Flight Landed,OS,111,E95,,
VIE,2023-07-18,09:05,,08:59,DP,Flight Departed,MUC,2023-07-18,10:05,2023-07-18,10:00,LD,Flight Landed,LH,2325,319,,
VIE,2023-07-18,13:15,,13:46,DP,Flight Departed,MUC,2023-07-18,14:15,2023-07-18,14:45,LD,Flight Landed,LH,2329,32A,,
VIE,2023-07-18,13:45,,13:42,DP,Flight Departed,MUC,2023-07-18,14:45,2023-07-18,14:42,LD,Flight Landed,OS,103,E95,,
VIE,2023-07-18,17:40,,17:40,DP,Flight Departed,MUC,2023-07-18,18:40,2023-07-18,18:42,LD,Flight Landed,OS,115,320,,
VIE,2023-07-18,19:50,,19:56,DP,Flight Departed,MUC,2023-07-18,20:50,2023-07-18,20:51,LD,Flight Landed,OS,117,320,,
