AirportCode,City,Country,Names,UtcOffset,TimeZoneId,Latitude,Longitude
ASW,ASW,EG,Aswan,+02:00,Africa/Cairo,23.9644,32.82
ATH,ATH,GR,Атина,+02:00,Europe/Athens,37.9364,23.9444
ATL,ATL,US,Atlanta,-05:00,America/New_York,33.6367,-84.4281
ATQ,ATQ,IN,Amritsar,+05:30,Asia/Kolkata,31.7097,74.7972
ATW,ATW,US,Appleton,-06:00,America/Chicago,44.2667,-88.5167
ATZ,ATZ,EG,Assiut,+02:00,Africa/Cairo,27.0464,31.0119
AUB,MUC,DE,Augsburg Busbahnhof Bieberbachstrasse,+01:00,Europe/Berlin,48.4025,10.8789
AUH,AUH,AE,Abu Dhabi,+04:00,Asia/Dubai,24.4331,54.6511
AUS,AUS,US,Austin,-06:00,America/Chicago,30.1944,-97.67
AUW,AUW,US,Wausau,-06:00,America/Chicago,44.9283,-89.6267
AVL,AVL,US,Asheville,-05:00,America/New_York,35.4361,-82.5419
AVP,AVP,US,Wilkes-Barre,-05:00,America/New_York,41.3386,-75.7233
AWA,AWA,ET,Awassa,+03:00,Africa/Addis_Ababa,7.0675,38.4906
AXD,AXD,GR,Alexandroupolis,+02:00,Europe/Athens,40.8558,25.9564
AXM,AXM,CO,Armenia,-05:00,America/Bogota,4.4528,-75.7664
AXT,AXT,JP,Akita,+09:00,Asia/Tokyo,39.6156,140.2186
AXU,AXU,ET,Axum,+03:00,Africa/Addis_Ababa,14.1467,38.7728
AYT,AYT,TR,Antalya,+03:00,Europe/Istanbul,36.8986,30.8006
AZO,AZO,US,Kalamazoo,-05:00,America/New_York,42.235,-85.5519
BAH,BAH,BH,Bahrain,+03:00,Asia/Bahrain,26.2708,50.6336
BAL,BAL,TR,Batman,+03:00,Europe/Istanbul,37.9289,41.1167
BAQ,BAQ,CO,Barranquilla,-05:00,America/Bogota,10.8897,-74.7808
BAV,BAV,CN,Baotou,+08:00,Asia/Shanghai,40.5606,109.9964
BBA,BBA,CL,Balmaceda,-04:00,America/Santiago,-45.9161,-71.6894
BBI,BBI,IN,Bhubaneswar,+05:30,Asia/Kolkata,20.2444,85.8178
